parcela;areaparc;estrato;vcomcc;vtot
14;400;1;7,097128291;9,358607277
20;400;1;7,234205584;9,427901234
26;400;1;8,555881124;11,50404347
27;400;1;12,28589627;15,25059349
28;400;1;7,768284674;10,4195689
32;400;1;11,28999974;13,98574055
33;400;1;8,494430777;11,21947922
34;400;1;10,60887839;13,39580935
10;400;2;5,051086969;6,818747191
11;400;2;7,399473627;9,41501739
12;400;2;5,727079287;7,661333478
15;400;2;5,308384143;7,096953291
16;400;2;3,83500285;5,240189095
17;400;2;9,290940326;11,46196101
22;400;2;8,608587387;10,55857583
23;400;2;7,808252844;9,767873629
